activity_nr,rel_type,rel_act_nr,rel_safety,rel_health,load_dt
344637129,R,1544634,X,,2020-08-17 00:28:26 EDT
344637152,R,1641288,X,,2020-08-17 00:28:26 EDT
344637160,C,1534475,X,,2020-08-17 00:28:26 EDT
344637160,C,1538485,X,,2020-08-17 00:28:26 EDT
344637160,C,1538485,,X,2020-08-17 00:28:26 EDT
344637178,C,1545159,,X,2020-08-17 00:28:26 EDT
344637244,C,1543292,,X,2020-08-17 00:28:26 EDT
344637269,C,1545209,X,,2020-08-17 00:28:26 EDT
344637277,C,1545159,,X,2020-08-17 00:28:26 EDT
344637301,A,1544563,,,2020-08-17 00:28:26 EDT
344637301,R,1548200,X,,2020-08-17 00:28:26 EDT
344637327,C,1544705,X,,2020-08-17 00:28:26 EDT
344637350,C,1543196,X,,2020-08-17 00:28:26 EDT
344637368,C,1543265,X,,2020-08-17 00:28:26 EDT
344637368,C,1543265,,X,2020-08-17 00:28:26 EDT
344637376,C,1544955,X,,2020-08-17 00:28:26 EDT
344637384,I,1099235,X,,2020-08-17 00:28:26 EDT
344637418,I,1436524,,,2020-08-17 00:28:26 EDT
344637418,I,1456186,X,,2020-08-17 00:28:26 EDT
344637434,R,1543054,,X,2020-08-17 00:28:26 EDT
344637442,C,1542315,,X,2020-08-17 00:28:26 EDT
344637475,R,1543088,X,,2020-08-17 00:28:26 EDT
344637475,C,1543898,X,,2020-08-17 00:28:26 EDT
344637509,C,1538485,,X,2020-08-17 00:28:26 EDT
344637509,C,1538485,X,,2020-08-17 00:28:26 EDT
344637509,C,1534475,X,,2020-08-17 00:28:26 EDT
344637558,C,1542323,X,,2020-08-17 00:28:26 EDT
344637558,C,1542323,,X,2020-08-17 00:28:26 EDT
344637566,A,1543791,,,2020-08-17 00:28:26 EDT
344637590,C,1544817,,X,2020-08-17 00:28:26 EDT
344637590,C,1544817,X,,2020-08-17 00:28:26 EDT
344637590,R,1545250,X,,2020-08-17 00:28:26 EDT
344637616,C,1543976,X,,2020-08-17 00:28:26 EDT
344637616,C,1543976,,X,2020-08-17 00:28:26 EDT
344637624,C,1543049,X,,2020-08-17 00:28:26 EDT
344637632,R,1545270,X,,2020-08-17 00:28:26 EDT
344637657,C,1541659,X,,2020-08-17 00:28:26 EDT
