activity_nr,prog_type,prog_value,load_dt
344733472,P,AMPUTATE,2020-08-17 00:29:01 EDT
344733472,N,AMPUTATE,2020-08-17 00:29:01 EDT
344733506,P,FRI,2020-08-17 00:29:01 EDT
344733506,S,FRI,2020-08-17 00:29:01 EDT
344733514,L,FALL,2020-08-17 00:29:01 EDT
344733548,P,FRI,2020-08-17 00:29:01 EDT
344733548,S,FRI,2020-08-17 00:29:01 EDT
344733555,N,TRENCH,2020-08-17 00:29:01 EDT
344733555,P,TRENCH,2020-08-17 00:29:01 EDT
344733555,S,PERMIT,2020-08-17 00:29:01 EDT
344733571,L,FALL,2020-08-17 00:29:01 EDT
344733571,P,FALL,2020-08-17 00:29:01 EDT
344733605,L,FALL,2020-08-17 00:29:01 EDT
344733605,P,FALL,2020-08-17 00:29:01 EDT
344733621,L,PIV,2020-08-17 00:29:01 EDT
344733647,N,TRENCH,2020-08-17 00:29:01 EDT
344733647,P,TRENCH,2020-08-17 00:29:01 EDT
344733738,S,FALL,2020-08-17 00:29:01 EDT
344733795,P,AMPUTATE,2020-08-17 00:29:01 EDT
344733795,N,AMPUTATE,2020-08-17 00:29:01 EDT
344733811,L,FALL,2020-08-17 00:29:01 EDT
344733811,P,FALL,2020-08-17 00:29:01 EDT
344733837,S,FALL,2020-08-17 00:29:01 EDT
344733852,S,CARBMNOX,2020-08-17 00:29:01 EDT
344733860,L,FALL,2020-08-17 00:29:01 EDT
344733878,P,ASBESTOS,2020-08-17 00:29:01 EDT
344733878,S,ASBESTOS,2020-08-17 00:29:01 EDT
344733894,S,FIRE,2020-08-17 00:29:01 EDT
344733902,S,FALL,2020-08-17 00:29:01 EDT
344733928,L,FALL,2020-08-17 00:29:01 EDT
344733928,P,FALL,2020-08-17 00:29:01 EDT
344733951,L,FALL,2020-08-17 00:29:01 EDT
344734025,S,FALL,2020-08-17 00:29:01 EDT
344734090,S,FALL,2020-08-17 00:29:01 EDT
344734116,P,FEDSAFE9,2020-08-17 00:29:01 EDT
344734116,L,FEDSAFE9,2020-08-17 00:29:01 EDT
344734157,L,FALL,2020-08-17 00:29:01 EDT
344734157,L,PIV,2020-08-17 00:29:01 EDT
344734173,P,HHPI,2020-08-17 00:29:01 EDT
344734173,S,HHPI,2020-08-17 00:29:01 EDT
344734199,N,TRENCH,2020-08-17 00:29:01 EDT
344734306,S,ES,2020-08-17 00:29:01 EDT
344734397,S,FALL,2020-08-17 00:29:01 EDT
344734397,P,FALL,2020-08-17 00:29:01 EDT
344734405,P,AGRI,2020-08-17 00:29:01 EDT
344734405,S,AGRI,2020-08-17 00:29:01 EDT
344734413,P,CONSTR,2020-08-17 00:29:01 EDT
344734413,S,CONSTR,2020-08-17 00:29:01 EDT
344734447,P,AGRI,2020-08-17 00:29:01 EDT
344734447,S,AGRI,2020-08-17 00:29:01 EDT
344734454,P,WALEP,2020-08-17 00:29:01 EDT
344734454,S,WALEP,2020-08-17 00:29:01 EDT
344734462,P,ASBESTOS,2020-08-17 00:29:01 EDT
344734462,S,ASBESTOS,2020-08-17 00:29:01 EDT
